instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
GBPUSD,macro_cpi_window,1M,499,-0.1419,0.02158,0.4316,False,-0.1662,-0.0934,-0.1761,-0.00029,B = Promising but insufficient evidence
GBPUSD,cme_vol_accel,1M,499,-0.0024,0.96208,1.0,False,-0.0436,0.0194,0.1653,-0.00029,B = Promising but insufficient evidence
NAS100,macro_cpi_window,1H,499,0.076,0.16599,0.92245,False,0.049,nan,0.1244,-3e-05,B = Promising but insufficient evidence
GBPUSD,cme_vol_surge,15M,499,-0.0205,0.68698,1.0,False,0.0072,-0.0616,-0.1099,-0.00028,B = Promising but insufficient evidence
GBPUSD,cme_vol_surge,1M,499,-0.205,0.0027,0.324,False,-0.3012,-0.0679,0.1067,-0.00029,B = Promising but insufficient evidence
NAS100,cme_vol_surge,1M,499,0.0088,0.86195,1.0,False,-0.0105,0.2265,-0.1051,-0.00027,B = Promising but insufficient evidence
NAS100,macro_cpi_window,30M,499,0.0394,0.44808,1.0,False,-0.0234,nan,0.0992,-0.00014,B = Promising but insufficient evidence
GBPUSD,macro_cpi_window,30M,499,-0.0504,0.33866,1.0,False,-0.013,-0.071,-0.0948,-0.00027,B = Promising but insufficient evidence
GBPUSD,cme_vol_accel,15M,499,0.0196,0.70039,1.0,False,0.0761,-0.0514,-0.092,-0.00028,B = Promising but insufficient evidence
GBPUSD,cme_vol_accel,5M,499,-0.0176,0.72951,1.0,False,-0.0528,0.0043,0.079,-0.00029,B = Promising but insufficient evidence
GBPUSD,cme_vol_surge,4H,499,0.0289,0.57276,1.0,False,-0.0241,0.2268,0.0667,-0.00024,B = Promising but insufficient evidence
GBPUSD,cme_vol_surge,30M,499,0.0034,0.94592,1.0,False,0.0345,-0.0494,-0.0654,-0.00028,B = Promising but insufficient evidence
GBPUSD,cme_vol_surge,1H,499,-0.043,0.40928,1.0,False,-0.0371,-0.0508,-0.0643,-0.00027,B = Promising but insufficient evidence
GBPUSD,cme_vol_accel,30M,499,-0.0123,0.80898,1.0,False,0.0259,-0.1164,-0.0466,-0.00029,B = Promising but insufficient evidence
GBPUSD,cme_vol_accel,1H,499,-0.002,0.96774,1.0,False,0.0301,-0.0722,-0.0447,-0.00028,B = Promising but insufficient evidence
GBPUSD,cme_vol_accel,4H,499,0.0571,0.28323,1.0,False,0.0338,0.132,0.0345,-0.00027,B = Promising but insufficient evidence
NAS100,macro_cpi_window,1M,499,-0.1058,0.0674,0.674,False,-0.2056,nan,-0.0279,-0.00029,B = Promising but insufficient evidence
NAS100,macro_cpi_window,4H,499,0.0557,0.29407,1.0,False,0.0848,nan,0.0121,-0.00025,B = Promising but insufficient evidence
GBPUSD,cme_vol_surge,5M,499,-0.0928,0.10046,0.8022,False,-0.1595,-0.0245,0.0056,-0.0003,D = No predictive edge
NAS100,macro_nfp_window,1M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_nfp_window,5M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_nfp_window,15M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_nfp_window,30M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_nfp_window,1H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_nfp_window,4H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_fomc_window,1M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_fomc_window,5M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_fomc_window,15M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_fomc_window,30M,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_fomc_window,1H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
NAS100,macro_fomc_window,4H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
