symbol,state_name,horizon,sample_size,frequency_pct,avg_fwd_return,volatility,win_probability,prob_reach_1r,prob_reach_2r,gross_expectancy_r,net_expectancy_r,profit_factor,classification
EURUSD,LOW_VOLATILITY,15M,765,76.5,-1e-05,0.00027,0.4667,0.0013,0.0,-0.04,-1.15,0.87,D = No state conditional edge
NAS100,VOLATILITY_EXPANSION,1M,25,2.5,-2e-05,0.00025,0.56,0.0,0.0,-0.08,-1.26,0.81,D = No state conditional edge
GBPUSD,SESSION_TRANSITION,5M,170,17.0,0.0,0.00023,0.4824,0.0,0.0,0.0,-1.33,1.06,D = No state conditional edge
GBPUSD,LOW_VOLATILITY,5M,775,77.5,-0.0,0.0002,0.4787,0.0013,0.0,-0.0,-1.47,0.94,D = No state conditional edge
EURUSD,VOLATILITY_COMPRESSION,15M,25,2.5,1e-05,0.00019,0.68,0.0,0.0,0.05,-1.5,1.11,D = No state conditional edge
EURUSD,VOLATILITY_EXPANSION,5M,43,4.3,2e-05,0.00018,0.4419,0.0,0.0,0.11,-1.57,1.33,D = No state conditional edge
GBPUSD,VOLATILITY_COMPRESSION,5M,22,2.2,-3e-05,0.00019,0.4091,0.0,0.0,-0.16,-1.77,0.55,D = No state conditional edge
EURUSD,LOW_VOLATILITY,5M,765,76.5,-0.0,0.00016,0.451,0.0,0.0,-0.0,-1.84,0.96,D = No state conditional edge
XAUUSD,VOLATILITY_COMPRESSION,1M,5,0.5,-5e-05,0.00016,0.6,0.0,0.0,-0.32,-2.22,0.39,D = No state conditional edge
GBPUSD,VOLATILITY_EXPANSION,1M,33,3.3,4e-05,0.00011,0.5758,0.0,0.0,0.38,-2.44,4.06,D = No state conditional edge
EURUSD,SESSION_TRANSITION,1M,166,16.6,0.0,0.00011,0.5181,0.0,0.0,0.0,-2.64,1.08,D = No state conditional edge
EURUSD,VOLATILITY_COMPRESSION,5M,25,2.5,1e-05,0.0001,0.6,0.0,0.0,0.1,-2.81,1.37,D = No state conditional edge
GBPUSD,SESSION_TRANSITION,1M,170,17.0,0.0,0.0001,0.5294,0.0,0.0,0.0,-3.1,1.12,D = No state conditional edge
GBPUSD,LOW_VOLATILITY,1M,775,77.5,-0.0,9e-05,0.4723,0.0,0.0,-0.0,-3.4,0.86,D = No state conditional edge
EURUSD,VOLATILITY_EXPANSION,1M,43,4.3,3e-05,7e-05,0.6744,0.0,0.0,0.43,-3.85,3.61,D = No state conditional edge
EURUSD,LOW_VOLATILITY,1M,765,76.5,0.0,7e-05,0.4654,0.0,0.0,0.0,-4.12,1.19,D = No state conditional edge
EURUSD,VOLATILITY_COMPRESSION,1M,25,2.5,-1e-05,7e-05,0.4,0.0,0.0,-0.14,-4.26,0.67,D = No state conditional edge
GBPUSD,VOLATILITY_COMPRESSION,1M,22,2.2,2e-05,4e-05,0.6364,0.0,0.0,0.44,-6.14,2.67,D = No state conditional edge
EURUSD,TRENDING_BEARISH,5M,1,0.1,0.0001,0.0,1.0,0.0,0.0,100.0,-200.0,104.29,D = No state conditional edge
EURUSD,TRENDING_BEARISH,240M,1,0.1,0.0001,0.0,1.0,0.0,0.0,100.0,-200.0,104.29,D = No state conditional edge
EURUSD,TRENDING_BEARISH,15M,1,0.1,-0.00056,0.0,0.0,0.0,0.0,-560.0,-860.0,0.0,D = No state conditional edge
EURUSD,TRENDING_BEARISH,60M,1,0.1,-0.00127,0.0,0.0,0.0,0.0,-1270.0,-1570.0,0.0,D = No state conditional edge
