instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
XAUUSD,vol_ratio,15M,499,-0.0287,0.5761,0.91364,False,0.008,-0.0606,-0.1466,-0.00017,B = Promising but insufficient evidence
EURUSD,mom_ret_5,15M,499,0.1076,0.06382,0.60093,False,0.0987,0.1219,0.1466,-0.00027,B = Promising but insufficient evidence
GBPUSD,liq_dist_vwap,15M,499,0.0259,0.61279,0.92068,False,-0.0072,0.0604,0.1464,-0.00027,B = Promising but insufficient evidence
EURUSD,vol_realized,1M,499,-0.085,0.12702,0.75192,False,-0.1524,0.149,0.1426,-0.00029,B = Promising but insufficient evidence
EURUSD,trend_ma_slope,30M,499,0.0991,0.08301,0.67917,False,0.1192,-0.0335,0.1421,-0.00026,B = Promising but insufficient evidence
XAUUSD,trend_ma_slope,15M,499,-0.0796,0.1491,0.75192,False,-0.109,0.0724,-0.142,-0.00017,B = Promising but insufficient evidence
NAS100,time_day_of_week,4H,499,0.033,0.52227,0.9083,False,0.0209,-0.0372,0.142,0.00028,A = Robust predictive edge
XAUUSD,vol_realized,4H,499,-0.0307,0.55009,0.91274,False,0.03,-0.1079,-0.1411,0.0003,B = Promising but insufficient evidence
NAS100,activity_vol_burst,1M,499,-0.0139,0.78403,0.98229,False,-0.0175,0.2497,-0.141,-0.00026,B = Promising but insufficient evidence
XAUUSD,vol_realized,5M,499,-0.0131,0.79622,0.99066,False,-0.0552,0.0459,0.1399,-0.00024,B = Promising but insufficient evidence
EURUSD,vol_ratio,5M,499,-0.0358,0.48884,0.8853,False,-0.0867,0.0272,0.1395,-0.00029,B = Promising but insufficient evidence
GBPUSD,time_day_of_week,1H,499,0.0583,0.27413,0.79972,False,0.0423,0.0304,0.1372,-0.00024,B = Promising but insufficient evidence
XAUUSD,mom_ret_15,15M,499,0.0005,0.9914,0.99898,False,0.0094,0.0792,-0.1371,-0.00018,B = Promising but insufficient evidence
XAUUSD,mom_ret_15,30M,499,0.0926,0.10122,0.70098,False,0.0875,0.058,0.136,-0.00012,B = Promising but insufficient evidence
NAS100,vol_atr_14,15M,499,-0.0007,0.98832,0.99898,False,0.065,-0.0855,-0.136,-0.00017,B = Promising but insufficient evidence
XAUUSD,vol_ratio,5M,499,0.0259,0.61311,0.92068,False,0.0111,0.2069,-0.1352,-0.00024,B = Promising but insufficient evidence
NAS100,mom_ret_1,4H,499,-0.0229,0.65373,0.93762,False,-0.0097,-0.0191,-0.1338,0.00024,B = Promising but insufficient evidence
NAS100,mom_ret_15,4H,499,-0.066,0.22089,0.76735,False,-0.0456,-0.1223,-0.1311,0.00023,B = Promising but insufficient evidence
NAS100,time_hour,5M,499,0.0567,0.28603,0.80752,False,0.0378,0.046,0.1271,-0.00022,B = Promising but insufficient evidence
NAS100,liq_dist_vwap,4H,499,-0.0806,0.14494,0.75192,False,-0.0514,-0.1544,-0.1268,0.00022,B = Promising but insufficient evidence
GBPUSD,trend_dev_mean,1M,499,-0.0621,0.24642,0.76735,False,-0.1148,0.056,0.1261,-0.00029,B = Promising but insufficient evidence
XAUUSD,struct_dist_high,1H,499,-0.107,0.06512,0.60093,False,-0.112,-0.0415,-0.1255,-3e-05,B = Promising but insufficient evidence
EURUSD,liq_dist_vwap,15M,499,-0.0188,0.71129,0.95904,False,-0.0221,0.0826,-0.1249,-0.00028,B = Promising but insufficient evidence
XAUUSD,struct_dist_high,15M,499,-0.0708,0.19292,0.7567,False,-0.1173,-0.0069,0.1243,-0.00019,B = Promising but insufficient evidence
NAS100,time_day_of_week,1H,499,0.0433,0.40626,0.86204,False,0.0279,0.0008,0.1238,-3e-05,B = Promising but insufficient evidence
NAS100,mom_ret_5,4H,499,-0.1006,0.07915,0.67843,False,-0.092,-0.1147,-0.1235,0.0002,B = Promising but insufficient evidence
XAUUSD,mom_ret_15,1H,499,0.0525,0.32035,0.80846,False,0.0312,0.0322,0.1227,-4e-05,B = Promising but insufficient evidence
EURUSD,struct_range_pos,30M,499,-0.0507,0.33582,0.81638,False,-0.0396,-0.0275,-0.1222,-0.00027,B = Promising but insufficient evidence
GBPUSD,activity_vol_burst,15M,499,-0.019,0.70938,0.95904,False,0.0091,-0.0662,-0.1211,-0.00027,B = Promising but insufficient evidence
GBPUSD,trend_dev_mean,15M,499,0.0003,0.99586,0.99898,False,-0.0374,0.0622,0.1201,-0.00027,B = Promising but insufficient evidence
XAUUSD,trend_dev_mean,4H,499,0.0645,0.2304,0.76735,False,0.0585,0.0033,0.1197,0.00021,A = Robust predictive edge
XAUUSD,trend_dev_mean,30M,499,0.0746,0.17279,0.75192,False,0.0578,0.0938,0.1185,-0.00014,B = Promising but insufficient evidence
XAUUSD,vol_ratio,1M,499,-0.0579,0.27685,0.79972,False,-0.0998,0.1232,-0.1179,-0.00027,B = Promising but insufficient evidence
NAS100,struct_dist_high,1H,499,0.0306,0.55162,0.91274,False,0.075,0.0773,-0.1176,-4e-05,B = Promising but insufficient evidence
GBPUSD,vol_realized,1H,499,-0.0105,0.83649,0.99174,False,0.0162,-0.0414,-0.1155,-0.00025,B = Promising but insufficient evidence
GBPUSD,mom_ret_15,30M,499,-0.0482,0.35817,0.8385,False,-0.0886,-0.0771,0.1146,-0.00026,B = Promising but insufficient evidence
XAUUSD,liq_dist_vwap,4H,499,0.0795,0.14988,0.75192,False,0.0808,-0.0072,0.1127,0.00018,A = Robust predictive edge
EURUSD,time_day_of_week,4H,499,0.0233,0.64823,0.93762,False,0.0068,-0.0213,0.1126,-0.00021,B = Promising but insufficient evidence
GBPUSD,vol_atr_14,1M,499,-0.042,0.42026,0.86352,False,-0.0391,-0.0045,-0.111,-0.00029,B = Promising but insufficient evidence
GBPUSD,liq_dist_vwap,4H,499,-0.0202,0.69158,0.95665,False,-0.1219,0.2244,0.1107,-0.00021,B = Promising but insufficient evidence
EURUSD,trend_ma_slope,1H,499,0.0765,0.16369,0.75192,False,0.0823,0.0181,0.1088,-0.00025,B = Promising but insufficient evidence
EURUSD,liq_dist_vwap,5M,499,-0.0843,0.12995,0.75192,False,-0.1526,-0.005,0.1083,-0.00029,B = Promising but insufficient evidence
EURUSD,vol_realized,15M,499,-0.2026,0.00294,0.3276,False,-0.2144,-0.1701,-0.1079,-0.00028,B = Promising but insufficient evidence
EURUSD,vol_atr_14,15M,499,-0.2062,0.0026,0.3276,False,-0.2461,-0.0383,-0.1077,-0.00028,B = Promising but insufficient evidence
EURUSD,liq_dist_vwap,1H,499,-0.0452,0.38699,0.85818,False,-0.0433,0.0282,-0.105,-0.00026,B = Promising but insufficient evidence
NAS100,time_hour,1H,499,0.0641,0.23311,0.76735,False,0.0394,0.1101,0.1043,-7e-05,B = Promising but insufficient evidence
GBPUSD,activity_vol_burst,1M,499,-0.2352,0.00097,0.3276,False,-0.3327,-0.068,0.1037,-0.00029,B = Promising but insufficient evidence
XAUUSD,time_hour,15M,499,-0.0565,0.28772,0.80752,False,-0.0047,-0.2138,-0.1032,-0.00021,B = Promising but insufficient evidence
GBPUSD,struct_dist_high,1H,499,0.0649,0.22807,0.76735,False,0.1535,-0.1494,-0.1027,-0.00026,B = Promising but insufficient evidence
GBPUSD,liq_dist_vwap,1M,499,-0.0231,0.6512,0.93762,False,-0.0627,0.0772,0.1026,-0.00029,B = Promising but insufficient evidence
EURUSD,trend_ma_slope,5M,499,0.0238,0.64099,0.93762,False,0.022,-0.0199,0.1022,-0.00029,B = Promising but insufficient evidence
GBPUSD,mom_accel,15M,499,0.0411,0.42936,0.86352,False,0.0866,0.0145,-0.1014,-0.00028,B = Promising but insufficient evidence
NAS100,mom_accel,1M,499,0.069,0.20279,0.76189,False,0.08,0.3108,-0.101,-0.00027,B = Promising but insufficient evidence
XAUUSD,struct_range_pos,4H,499,0.0652,0.22636,0.76735,False,0.0742,-0.0308,0.1007,0.00012,A = Robust predictive edge
GBPUSD,time_hour,30M,499,0.0103,0.83959,0.99174,False,-0.005,-0.0409,0.1004,-0.00027,B = Promising but insufficient evidence
